time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.6826328841642613e-07,2.979113554302263e-07,9.998961347050818,0.0003355449365063379,0.0002102933911922733,0.0,-1.4885295873084446e-05,2.5222565255813134e-05,-0.03462211340770573,0.014921403346095517,0.00972616334456728,0.0,391.5980651229934,392.50160990140097,390.9960880204558,392.3835540940709
0.12000000000000001,-8.273429705468585e-06,1.278810174057437e-05,10.001316794423225,0.001020888118518748,0.0009684076121452279,0.0,-0.0003290731409741161,0.00047855624667172633,0.11313371282119886,0.003300432261656661,0.017897772537915,0.0,451.4666575230193,452.12534121528034,452.2635250390935,451.3267393502216
0.18,-5.706021710007914e-05,6.980169003345354e-05,10.015319757672604,0.002298343950029924,0.0020522609220670063,0.0,-0.001429604959282764,0.0015291415861580274,0.353587424971011,0.0436817654340839,0.018395038881673077,0.0,478.8509877003036,478.888717556604,478.4538944309434,481.5179633422244
0.23999999999999996,-0.0001981709247344551,0.00023080395208327232,10.04343526058943,0.005505565917157895,0.003036904234992477,0.0,-0.003400887718831601,0.004196673907439857,0.5835051093074566,0.06804517567218218,0.012113472525672258,0.0,477.0218742172785,476.5419258746607,475.3006616052662,477.16548286663505
0.3,-0.00047270500106019086,0.0006222888402784034,10.083036305753687,0.009906350286649435,0.0034729812628633283,0.0,-0.005816467890883163,0.00932005977115742,0.7364397171491525,0.08225980525796528,-0.004810278126316867,0.0,454.8587394668607,453.5015145752104,452.7793267356962,453.92531018225776
0.36000000000000004,-0.0009017068074527857,0.001434478164220338,10.132951190559147,0.01474887869212349,0.0032242922862382173,0.0,-0.008452151436786494,0.01831610362234088,0.9272477621583993,0.07741306789871608,-0.0028459705591814617,0.0,464.58780355018206,464.74185015387826,466.3514426617507,465.9776785307765
0.4200000000000001,-0.0015014316099778383,0.002988345439401894,10.199953494950302,0.02028807042487113,0.0029551597289989573,0.0,-0.011506364622740711,0.034217611048156855,1.3057969434088015,0.11209428112223703,-0.007984981066943423,0.0,518.315542483598,517.9543829946474,518.090890638345,520.5287085387101
0.48000000000000015,-0.0022535027224847063,0.005505205794244811,10.28218365597997,0.026818117865869517,0.0023596614155714235,0.0,-0.013505431982142707,0.05038013061841561,1.4350387277811825,0.10135983718129117,-0.014118465664049142,0.0,449.0790213975055,448.581403813243,447.2630154986382,446.39831593685415
0.5400000000000001,-0.0031189358156792054,0.009228107825466752,10.375676749290948,0.03286375677979869,0.0012362382714270481,0.0,-0.015222420472719976,0.07445683538639003,1.6810468645208232,0.09953551054524797,-0.030048018197112756,0.0,483.37178546395756,482.1700143136302,483.4606693821505,483.3310848945414
0.6000000000000002,-0.004053781763964337,0.014495775848105606,10.482434028923526,0.038710902054752694,6.282816702593351,0.0,-0.0157415384269754,0.10180894751224,1.8772026736418408,0.09292554797602111,-0.020851752198537677,0.0,469.21508884722374,469.92829599734165,469.19260371938793,468.68675962085877
0.6600000000000003,-0.004985492583731349,0.021444922789431255,10.598551069642431,0.044171555931776574,6.281359592923863,0.0,-0.015175339127392969,0.13039738714036758,1.9931446889954443,0.0868799111953676,-0.03222985984208286,0.0,445.8894904543457,444.9589486573655,445.8925625735982,445.4053437671079
0.7200000000000003,-0.00584175179504375,0.030391493158701207,10.725333798001467,0.04964574073145922,6.279017130493015,0.0,-0.013112213701794113,0.1684579722752155,2.2324762858166944,0.0987663767355661,-0.05833986570763952,0.0,484.06867091601697,482.09919463713004,482.5181697682089,483.42083242965975
0.7800000000000004,-0.006544635013701135,0.04138436552003923,10.859058262012706,0.0557358432943067,6.2757555428350145,0.0,-0.010026615475778766,0.1984888490772555,2.224988563706304,0.10647321593588606,-0.047399924545214245,0.0,407.0246721461945,408.0002372719087,405.5686540277301,406.2701993746912
0.8400000000000004,-0.006953418203452742,0.05467257657060136,10.99909257736223,0.06257350567074127,6.272568191356374,0.0,-0.0032468904731099758,0.2452182899944239,2.4423283002503986,0.1258092676787288,-0.06815065044035433,0.0,479.3377845338247,477.7565582802271,476.0679613919404,477.5555166928885
0.9000000000000005,-0.006879042303051806,0.0708982898947965,11.15158685889302,0.070459619167349,6.268266435371359,0.0,0.006209260411914309,0.2965102274892492,2.640305242030635,0.1408030088834199,-0.07994055847188321,0.0,473.48981265549065,472.57826422874405,472.4296193008481,473.5988304526428
0.9600000000000005,-0.006150661051237356,0.0903096005446944,11.31481470644109,0.07913272454050357,6.2636641183494515,0.0,0.018585345691447666,0.3514535651743016,2.8001552815599964,0.1511490321532139,-0.07091684905302079,0.0,462.00964559771523,462.7161128685823,462.6362304213915,463.46863184097873
1.0200000000000005,-0.004531450248287099,0.11339941121077736,11.489903820503597,0.08803539036579533,6.2593420564600315,0.0,0.035900571404917314,0.41925200680158253,3.035435895939143,0.14217080692398643,-0.07436736358524822,0.0,486.05843613854074,485.79625439013347,486.2485185801056,485.59402951915814
1.0800000000000005,-0.0018157440100563453,0.14059168676656378,11.677053943830467,0.09664812072465345,6.255044022692168,0.0,0.055102650615439744,0.4880707711432207,3.202328309911334,0.14615919623163498,-0.06666423924311699,0.0,467.2263694795377,467.8228580341007,466.8690568365501,467.1982638468449
1.1400000000000006,0.0021475505680217132,0.17210816340741883,11.874188563474931,0.10566683645839703,6.25137955387852,0.0,0.07742079310414615,0.5634203798013083,3.3682127166563305,0.15753044036682057,-0.05175247684001246,0.0,467.9685751771635,469.12536476435565,467.33594716853304,468.2413639603944
